trimestre,canalAcesso,produto,acessoATM,qtdTransacoes,valorTransacoes
20214,ATM,Boletos e Convênios,ATM/Acesso restrito,43776220,"28634614017,93"
20214,Correspondentes no País,Outras Financeiras,Não aplicável,272,"70639560,34"
20214,Agências,Empréstimos e Financiamentos,Não aplicável,146909691,"355100225493,86"
20214,Telefone Celular,Consulta Saldo/Extrato,Não aplicável,14125618365,0
20214,Agências,Outras não Financeiras,Não aplicável,61015945,0
20214,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão próprio,982983,"31727784268,45"
20214,Telefone Celular,Outras Financeiras,Não aplicável,69316427,"177463540425,25"
20214,Posto de Atendimento Cooperativo,Outras Financeiras,Não aplicável,85647,"1484886076,93"
20214,ATM,Saque,ATM/Acesso restrito,291663886,"176382008135,42"
20214,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão próprio,239899830,0
20214,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão próprio,613484,"1126709893,66"
20214,Agências,Consulta Saldo/Extrato,Não aplicável,131007160,0
20214,Correspondentes no País,Saque,Não aplicável,134975769,"73592399480,49"
20214,Telefone Celular,Saques via Pix,Não aplicável,38,"5450,22"
20214,Posto de Atendimento Cooperativo,Ordem de Transferência de Crédito,Não aplicável,4064263,"55430600163,08"
20214,Correspondentes no País,Depósito,Não aplicável,105530855,"56292260085,62"
20214,Centrais de Atendimento,Boletos e Convênios,Não aplicável,334770,"589425856,36"
20214,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão terceiro,104719155,0
20214,Internet Banking,Ordem de Transferência de Crédito,Não aplicável,227108209,"5982184135801,42"
20214,ATM,Depósito,ATM/Acesso aberto/Cartão próprio,38582125,"50064289996,21"
20214,Telefone Celular,Outras não Financeiras,Não aplicável,3055685447,0
20214,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão próprio,16371495,"8774912157,96"
20214,Internet Banking,Consulta Saldo/Extrato,Não aplicável,2162435286,"13,41"
20214,ATM,Saque,ATM/Acesso aberto/Cartão próprio,112422377,"57203123563,2"
20214,Agências,Saque,Não aplicável,38854364,"274318653631,96"
20214,Posto de Atendimento Cooperativo,Saque,Não aplicável,29487213,"14828696283,92"
20214,Telefone Celular,Pix,Não aplicável,2000632604,"826061238083,78"
20214,Agências,Pix,Não aplicável,1008710,"628458445,85"
20214,Telefone Celular,Ordem de Transferência de Crédito,Não aplicável,384217903,"870940431752,63"
20214,Internet Banking,Empréstimos e Financiamentos,Não aplicável,40504344,"116147981945,92"
20214,ATM,Pix,ATM/Acesso aberto/Cartão terceiro,156442,31211574
20214,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão próprio,8440047,0
20214,Centrais de Atendimento,Consulta Saldo/Extrato,Não aplicável,136776767,0
20214,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão terceiro,39647,0
20214,Agências,Outras Financeiras,Não aplicável,144916075,"3417691371629,84"
